FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,,Baja California,Mexico,2020-07-09 04:34:23,30.8406,-115.2838,10286,2189,7505,592,"Baja California, Mexico",282.98139024580814,21.281353295741784
,,Baja California Sur,Mexico,2020-07-09 04:34:23,26.0444,-111.6661,1937,93,1489,355,"Baja California Sur, Mexico",240.70843088424613,4.801239029426949
,,Baleares,Spain,2020-07-09 04:34:23,39.710358,2.995148,2240,224,1533,483,"Baleares, Spain",188.5172779451617,10.0
,,Balochistan,Pakistan,2020-07-09 04:34:23,28.328492,65.898403,11052,124,6658,4270,"Balochistan, Pakistan",89.53041733552553,1.1219688744118712
,,Bashkortostan Republic,Russia,2020-07-09 04:34:23,54.8573563,57.1439682,5731,19,3595,2117,"Bashkortostan Republic, Russia",141.0432375907915,0.33153027394870005
,,Basilicata,Italy,2020-07-09 04:34:23,40.63947052,15.80514834,405,27,373,5,"Basilicata, Italy",71.9527989638797,6.666666666666667
,,Bayern,Germany,2020-07-09 04:34:23,48.7904,11.4979,48953,2607,45500,846,"Bayern, Germany",374.3522554316177,5.3255163115641535
,,Beijing,China,2020-07-09 04:34:23,40.1824,116.4142,929,9,645,275,"Beijing, China",4.312906220984217,0.9687836383207751
,,Belgorod Oblast,Russia,2020-07-09 04:34:23,50.7080119,37.5837615,4950,42,4221,687,"Belgorod Oblast, Russia",319.3803891408087,0.8484848484848485
,,Berlin,Germany,2020-07-09 04:34:23,52.52,13.405,8536,215,7828,493,"Berlin, Germany",234.1949931217567,2.518744142455483
,,Bermuda,United Kingdom,2020-07-09 04:34:23,32.3078,-64.7505,149,9,137,3,"Bermuda, United Kingdom",239.26902509916016,6.040268456375839
,,Bihar,India,2020-07-09 04:34:23,25.679658,85.60484,13189,107,9554,3528,"Bihar, India",10.568115240709355,0.8112821290469331
,,Biobio,Chile,2020-07-09 04:34:23,-37.4464,-72.1416,7816,65,6386,1365,"Biobio, Chile",502.0538860037063,0.8316274309109519
,,Blekinge,Sweden,2020-07-09 04:34:23,56.2784,15.018,465,14,0,451,"Blekinge, Sweden",291.3424307356866,3.010752688172043
,,Bolivar,Colombia,2020-07-09 04:34:23,8.6704,-74.03,10945,440,5641,4864,"Bolivar, Colombia",528.7158653404891,4.0201005025125625
,,"Bonaire, Sint Eustatius and Saba",Netherlands,2020-07-09 04:34:23,12.1784,-68.2385,7,0,7,0,"Bonaire, Sint Eustatius and Saba, Netherlands",26.696159566759466,0.0
,,Boyaca,Colombia,2020-07-09 04:34:23,5.4545,-73.362,444,18,247,179,"Boyaca, Colombia",36.47188707515181,4.054054054054054
,,Brandenburg,Germany,2020-07-09 04:34:23,52.4125,12.5316,3502,172,3300,30,"Brandenburg, Germany",139.41543450679302,4.911479154768704
,,Bremen,Germany,2020-07-09 04:34:23,53.0793,8.8017,1687,54,1599,34,"Bremen, Germany",247.00359890246654,3.200948429164197
,,British Columbia,Canada,2020-07-09 04:34:23,53.7267,-127.6476,3008,186,2660,162,"British Columbia, Canada",58.85440910114565,6.183510638297872
,,British Virgin Islands,United Kingdom,2020-07-09 04:34:23,18.4207,-64.64,8,1,7,0,"British Virgin Islands, United Kingdom",26.457651222012768,12.5
,,Bryansk Oblast,Russia,2020-07-09 04:34:23,52.8873315,33.41585300000001,6603,35,4809,1759,"Bryansk Oblast, Russia",545.2599625758269,0.5300620929880357
,,Buryatia Republic,Russia,2020-07-09 04:34:23,52.7182426,109.492143,3219,22,2335,862,"Buryatia Republic, Russia",326.96435083000597,0.6834420627524076
,,C. Valenciana,Spain,2020-07-09 04:34:23,39.484,-0.7533,11701,1432,9970,299,"C. Valenciana, Spain",235.19744545141893,12.238270233313392
